2015.04.03-2015.06.02线路总流量(平均值）,,,
线路名称,总流量（Mbit/s),上行流量（Mbit/s),下行流量（Mbit/s)
2016.11.1-2016.12.31线路总流量(平均值）,,,
线路名称,总流量（Mbit/s),上行流量（Mbit/s),下行流量（Mbit/s)
M6000-迪普防火墙     ,5738.6,1525.5,4213.1
M6000-迪普流控       ,5728.1,1694.6,4033.5
城市热点-校园核心,5444.3,1471.8,3972.5
乾园-校园核心,2485.6,605.2,1880.4
菁园-校园核心       ,2039,530.1,1508.9
嘉园-校园核心       ,1292.6,485.7,806.9
德园-校园核心       ,469.5,141,328.5
校园核心-M6000      ,465.4,137.1,328.3
西苑-校园核心,393.9,153.7,240.2
图书馆汇聚-校园核心,246.8,38.9,207.9
M6000-教育网 NAT    ,222.3,35.1,187.2
工科-校园核心,199.3,94.9,104.4
周山-校园核心       ,47.5,17.6,29.9
文科-校园核心,42.1,19.3,22.8
农医-校园核心,24.5,10.2,14.3
景华-校园核心,20.9,7.6,13.3
公教-校园核心,20.8,7.1,13.7
2017.02.01-2017.03.31线路总流量(平均值）,,,
线路名称,总流量（Mbit/s),上行流量（Mbit/s),下行流量（Mbit/s)
M6000-迪普流控    ,2421.4,745.2,1676.2
城市热点-校园核心       ,2423.8,786.2,1637.6
M6000-迪普防火墙,2786.9,865.9,1921
乾园-校园核心,670.3,163.8,506.5
菁园-校园核心       ,963.8,264.9,698.9
嘉园-校园核心       ,407.7,158.4,249.3
西苑-校园核心       ,375.9,170.7,205.2
德园-校园核心      ,593.4,179.6,413.8
乾园9号楼-校园核心,109.8,28.4,81.4
乾园10号楼-校园核心,375.3,90.6,284.7
乾园5号楼-校园核心    ,94.8,21.6,73.2
乾园8号楼-校园核心,87.7,22.7,65
乾园6号楼-校园核心       ,87.2,20.5,66.7
图书馆汇聚-校园核心,83.6,14.9,68.7
乾园7号楼-校园核心,75.1,20.8,54.3
工科-校园核心,137.9,66.3,71.6
M6000-教育网 NAT,99.7,21.2,78.5
网络管理软件线路流量统计表2017.4.8-2017.6.7
线路名称,总流量（Mbit/s),上行流量（Mbit/s),下行流量（Mbit/s)
M6000-迪普流控,7466.3,2135.5,5330.8
城市热点-校园核心,7406,2245,5161
M6000-迪普防火墙,7238.5,2101.7,5136.8
乾园-校园核心,2712,745,1967
菁园-校园核心,2140,626,1514
嘉园-校园核心,1264.1,652,612.1
德园-校园核心,444.8,124.1,320.7
西苑-校园核心,334.2,103.5,230.7
乾园6号楼-乾园核心,366.3,271.7,94.6
乾园5号楼-乾园核心,382.6,95.2,287.4
乾园9号楼-乾园核心,392.5,106.3,286.2
乾园10号楼-乾园核心,386.3,99,287.3
乾园8号楼-乾园核心,329,96.7,232.3
工科-校园核心,262.8,121,141.8
M6000-教育网NAT,246.5,38.9,207.6
乾园7号楼-乾园核心,280.7,80.4,200.3
图书馆汇聚-校园核心,232.5,47.5,185
乾园2号楼-乾园核心,180.8,39.5,141.3
嘉园2号楼-嘉园核心,134.3,43.8,90.5
